Firstname,Lastname,MailDomain,SAM,OU,Password,Description
User,Marketing01,domains.local,markerting01,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing02,domains.local,markerting02,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing03,domains.local,markerting03,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing04,domains.local,markerting04,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing05,domains.local,markerting05,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing06,domains.local,markerting06,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing07,domains.local,markerting07,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing08,domains.local,markerting08,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing09,domains.local,markerting09,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Marketing10,domains.local,markerting10,"OU=Marketing,DC=DomainS,DC=local",LNXrocks!,Maketing User
User,Accounting01,domains.local,Accounting01,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting02,domains.local,Accounting02,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting03,domains.local,Accounting03,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting04,domains.local,Accounting04,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting05,domains.local,Accounting05,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting06,domains.local,Accounting06,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting07,domains.local,Accounting07,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting08,domains.local,Accounting08,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting09,domains.local,Accounting09,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Accounting10,domains.local,Accounting10,"OU=Accounting,DC=DomainS,DC=local",LNXrocks!,Accounting User
User,Sales01,domains.local,Sales01,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales02,domains.local,Sales02,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales03,domains.local,Sales03,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales04,domains.local,Sales04,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales05,domains.local,Sales05,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales06,domains.local,Sales06,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales07,domains.local,Sales07,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales08,domains.local,Sales08,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales09,domains.local,Sales09,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Sales10,domains.local,Sales10,"OU=Sales,DC=DomainS,DC=local",LNXrocks!,Sales User
User,Dev01,domains.local,Dev01,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev02,domains.local,Dev02,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev03,domains.local,Dev03,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev04,domains.local,Dev04,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev05,domains.local,Dev05,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev06,domains.local,Dev06,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev07,domains.local,Dev07,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev08,domains.local,Dev08,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev09,domains.local,Dev09,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
User,Dev10,domains.local,Dev10,"OU=Dev,DC=DomainS,DC=local",LNXrocks!,Dev User
